Job Title,Company Name,Location,Job Skill,Date,Link
SAP CPI Developer,Quantum Digital -,"Cairo, Egypt",Work From HomeExperienced · 5 - 9 Yrs of Exp · IT/Software Development · ABAP · API · CPI · SAP,3 days ago,https://wuzzuf.net/jobs/p/XdNII4H62Iqe-SAP-CPI-Developer-Quantum-Digital-Cairo-Egypt?o=16&l=sp&t=sj&a=None|search-v3|hpb
HR Recruiter,citPEAK -,"Nasr City, Cairo, Egypt",Full TimeExperienced · 2+ Yrs of Exp · Human Resources · Recruitment · Human Resources (HR) · HR · Recruiter · English · hr recruiter · Microsoft Office · Communication,3 days ago,https://wuzzuf.net/jobs/p/B5mKhiwEIgcm-HR-Recruiter-citPEAK-Cairo-Egypt?o=17&l=sp&t=sj&a=None|search-v3|hpb
Senior Node JS Developer,Evolvice GmbH -,"Cairo, Egypt",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · NodeJS · Js · RESTful APIs · JavaScript · Unit Testing · Software Development,3 days ago,https://wuzzuf.net/jobs/p/RKDG6hoTu0KJ-Senior-Node-JS-Developer-Evolvice-GmbH-Cairo-Egypt?o=18&l=sp&t=sj&a=None|search-v3|hpb
Operations Executive Leader,WebBeds -,"Nasr City, Cairo, Egypt",Full TimeExperienced · 3 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Tourism/Travel · Communication · Customer Support · Customer Service · Operations · Tourism · Travel,4 days ago,https://wuzzuf.net/jobs/p/mWCTU2adTWyj-Operations-Executive-Leader-WebBeds-Cairo-Egypt?o=19&l=sp&t=sj&a=None|search-v3|hpb
Assistant Professor/Lecturer in Computer Science,El Sewedy Education - The Knowledge Hub Universities -,"Cairo, Egypt",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Computer Engineering · Education · Cloud Computing) · High Performance Computing,5 days ago,https://wuzzuf.net/jobs/p/MmnN4zE5f5Kq-Assistant-ProfessorLecturer-in-Computer-Science-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=20&l=sp&t=sj&a=None|search-v3|hpb
Technical Talent Acquisition Specialist,Jobtology -,"New Cairo, Cairo, Egypt",Freelance / ProjectExperienced · 4 - 5 Yrs of Exp · Human Resources · Human Resources (HR) · English · Sourcing · Recruitment · Talent · Talent acquisition · Talent Sourcing · Communication skills · Recruiting,6 days ago,https://wuzzuf.net/jobs/p/kCr8P8lLLXB0-Technical-Talent-Acquisition-Specialist-Jobtology-Cairo-Egypt?o=21&l=sp&t=sj&a=None|search-v3|hpb
Testing Team Leader,ISFP -,"Smouha, Alexandria, Egypt",Full TimeManager · 4 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Testing · Software Development · Automation · Computer Science · Information Technology (IT) · Software · Agile,18 days ago,https://wuzzuf.net/jobs/p/uxbb7NMt3MDA-Testing-Team-Leader-ISFP-Alexandria-Egypt?o=22&l=sp&t=sj&a=None|search-v3|hpb
L3 Support Analyst (SQL/APIs) Fluent English Speakers Only,FlairsTech -,"Cairo, Egypt",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Computer Science · Customer Service · Information Technology (IT) · Linux · Oracle · Engineering · Microsoft SQL Server · SQL · API Development,9 days ago,https://wuzzuf.net/jobs/p/2Z3PsP9RExjw-L3-Support-Analyst-SQLAPIs-Fluent-English-Speakers-Only-FlairsTech-Cairo-Egypt?o=23&l=sp&t=sj&a=None|search-v3|hpb
Software Tester,Worex -,"Maadi, Cairo, Egypt",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · API · Information Technology (IT) · Software Testing · Quality Control · Software Development · Test Cases · Testing,10 days ago,https://wuzzuf.net/jobs/p/uiQHjGvLcM59-Software-Tester-Worex-Cairo-Egypt?o=24&l=sp&t=sj&a=None|search-v3|hpb
Trade Specialist (Steel sector),Baradah for Construction -,"Giza, Egypt",Full TimeSenior Management · 3 - 15 Yrs of Exp · Training/Instructor · Logistics · Supply Chain · Trading · Trade,10 days ago,https://wuzzuf.net/jobs/p/X0plYCxnL0wq-Trade-Specialist-Steel-sector-Baradah-for-Construction-Giza-Egypt?o=25&l=sp&t=sj&a=None|search-v3|hpb
Oracle Database Administrator,Egabi FSI -,"Heliopolis, Cairo, Egypt",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Oracle · Database · Information Technology (IT) · Linux · Oracle Data Guard · SQL · Oracle Database,19 days ago,https://wuzzuf.net/jobs/p/oh6dGqXKXTxk-Oracle-Database-Administrator-Egabi-FSI-Cairo-Egypt?o=26&l=sp&t=sj&a=None|search-v3|hpb
Medical Sales Representative,Servotech -,"New Cairo, Cairo, Egypt",Full TimeEntry Level · 1 - 2 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Sales · Negotiation · Communication · sales skills · Sales Target · Medical · Medical Sales,13 days ago,https://wuzzuf.net/jobs/p/U5NtIMlGOqgy-Medical-Sales-Representative-Servotech-Cairo-Egypt?o=27&l=sp&t=sj&a=None|search-v3|hpb
